,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
241,243,Less than 1 Hour,"2, 4, 5",0,1,0,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,1,25,13,5,4,2,1,13,1.0,1,0.85000002,0.81666666,0.66250002,0.25,1,0,0,0
242,244,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3",2,1,5,1,2,5,4,1,4,1,2,1,0,0,0,0,0,29,13,4,5,2,1,3,1.0,4,0.52499998,0.57499999,0.51249999,0.0,0,0,0,1
243,245,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"2, 3, 4",3,5,5,4,5,5,5,5,5,5,1,1,0,0,0,1,0,35,13,4,4,4,1,13,2.0,1,0.88749999,0.96249998,0.8125,0.25,1,0,0,0
244,246,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,4,1,3,3,3,5,5,4,4,4,4,1,1,1,0,0,0,0,34,9,4,5,2,3,11,1.0,1,0.61250001,0.73750001,0.66250002,0.25,1,0,0,0
245,247,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 1000-3000 friends,4,1,5,5,5,2,5,5,5,5,5,3,1,1,0,0,1,1,25,10,4,5,2,4,10,1.0,1,0.66250002,0.88749999,0.8125,0.5,1,0,0,0
246,248,Less than 1 Hour,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"1, 3, 4",3,4,3,3,5,4,4,4,5,4,1,1,1,1,0,1,1,28,10,4,7,2,4,10,3.0,1,0.73750001,0.7791667,0.71249998,0.75,1,0,0,0
247,249,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,1,5,3,4,4,5,4,4,4,1,1,1,0,0,0,1,28,10,5,5,2,3,9,3.0,1,0.85000002,0.61666667,0.71249998,0.25,1,0,0,0
248,250,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 300-1000 friends,"2, 3, 4",3,3,4,3,3,5,2,2,3,2,1,1,0,0,0,0,1,20,10,3,1,1,3,10,1.0,1,0.6875,0.76249999,0.41249999,0.0,1,0,0,0
249,251,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 3",2,4,4,1,4,4,3,4,4,4,3,1,1,1,1,1,0,35,10,5,3,5,4,2,1.0,1,0.57499999,0.72500002,0.61250001,1.0,1,0,0,0
250,252,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,3,1,5,5,5,1,3,1,1,1,1,1,0,0,0,38,10,4,7,4,3,10,4.0,4,0.69999999,0.76666665,0.51249999,0.5,0,0,0,1
251,253,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,1,5,5,1,1,4,1,1,1,1,0,0,0,1,24,9,4,4,2,1,10,1.0,1,0.80000001,0.86666667,0.36250001,0.25,1,0,0,0
252,254,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"2, 3, 4",3,4,4,4,4,5,4,4,5,5,2,1,0,0,0,0,0,36,8,4,5,2,3,8,1.0,4,0.78750002,0.86250001,0.76249999,0.0,0,0,0,1
253,255,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"2, 3, 4",3,3,4,2,4,5,4,2,3,3,1,1,0,0,1,0,1,32,10,5,4,3,1,10,2.0,1,0.6875,0.76249999,0.5625,0.25,1,0,0,0
254,256,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,"1, 2, 3, 4",4,4,4,3,5,5,5,2,5,4,2,1,1,1,0,0,1,23,1,4,4,2,3,1,1.0,1,0.85000002,0.88333333,0.76249999,0.5,1,0,0,0
255,257,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 4",3,3,3,4,3,5,5,3,1,3,"1, 2",2,0,0,0,1,0,27,10,4,6,2,1,8,2.0,4,0.6875,0.76249999,0.57499999,0.25,0,0,0,1
256,258,More than 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"1, 2, 3, 4",4,4,5,1,3,4,1,1,3,1,2,1,1,0,0,1,1,30,10,4,4,2,2,10,1.0,1,0.69999999,0.76666665,0.3125,0.5,1,0,0,0
257,259,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3",3,4,5,2,3,3,3,3,3,3,1,1,0,0,0,1,0,50,9,4,5,2,2,10,2.0,1,0.6875,0.69583333,0.51249999,0.25,1,0,0,0
258,260,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"2, 3, 4",3,4,5,3,4,4,4,5,4,4,2,1,1,0,0,0,0,45,7,5,5,2,1,13,1.0,3,0.78750002,0.79583335,0.66250002,0.25,0,0,1,0
259,261,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,2,1,5,5,5,4,1,4,4,5,5,1,1,1,1,0,1,0,43,8,4,5,2,4,8,4.0,1,0.76249999,0.65416664,0.76249999,0.75,1,0,0,0
260,262,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,3,5,3,3,3,5,1,1,1,0,0,0,0,0,19,2,0,1,1,3,2,3.0,4,0.89999998,0.69999999,0.51249999,0.0,0,0,0,1
